,total_images,last_price,total_area,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,airports_nearest,cityCenters_nearest,parks_around3000,parks_nearest,ponds_around3000,ponds_nearest
757,14,4290000.0,59.0,3,2.55,9.0,43.9,2,False,False,False,6.1,,41210.0,11393.0,3.0,597.0,0.0,
758,14,13950000.0,100.0,4,,3.0,70.0,2,,False,False,11.0,0.0,21111.0,2256.0,3.0,112.0,1.0,652.0
759,6,5000000.0,62.1,3,3.0,6.0,42.0,2,,False,False,8.7,,19760.0,4969.0,1.0,790.0,1.0,280.0
760,9,7250000.0,93.0,3,3.1,3.0,57.5,3,,False,False,10.5,,22351.0,2802.0,2.0,378.0,3.0,51.0
761,3,12500000.0,114.2,5,3.5,2.0,79.3,1,False,False,False,,0.0,32834.0,4362.0,0.0,,2.0,650.0
762,15,7800000.0,62.6,2,,17.0,39.5,15,,False,False,10.0,0.0,34519.0,12100.0,0.0,,0.0,
763,12,3240000.0,29.0,0,,24.0,17.0,2,,True,False,,2.0,35129.0,16293.0,0.0,,1.0,475.0
764,3,3900000.0,32.0,0,2.7,24.0,18.0,2,,True,False,,2.0,44754.0,8409.0,1.0,609.0,0.0,
765,8,4100000.0,45.0,2,2.5,5.0,30.0,4,,False,False,7.1,1.0,15080.0,13621.0,1.0,609.0,0.0,
766,9,5690000.0,65.0,3,,14.0,44.0,7,False,False,False,8.0,0.0,12748.0,15340.0,0.0,,0.0,
767,0,5600000.0,63.0,3,2.6,9.0,,4,,False,False,7.0,2.0,49634.0,16763.0,1.0,210.0,0.0,
768,10,7300000.0,60.0,2,,25.0,29.0,16,,False,False,11.0,,11405.0,13222.0,0.0,,1.0,623.0
769,9,5900000.0,57.0,2,2.54,14.0,24.9,4,,False,False,16.0,,34160.0,11725.0,1.0,153.0,1.0,377.0
770,1,5800000.0,33.6,1,3.7,7.0,22.8,4,False,False,False,6.6,0.0,21632.0,208.0,3.0,304.0,3.0,503.0
771,19,6650000.0,70.0,3,2.55,9.0,41.0,8,,False,False,8.3,,19546.0,21258.0,0.0,,1.0,552.0
772,8,7800000.0,72.0,3,3.8,4.0,49.2,4,,False,False,8.87,,19945.0,1921.0,3.0,247.0,3.0,132.0
773,10,25000000.0,201.0,5,3.5,6.0,131.0,4,False,False,False,35.0,,26752.0,5458.0,3.0,445.0,0.0,
774,20,118000000.0,290.6,6,3.82,6.0,188.7,3,,False,False,22.0,1.0,25309.0,6224.0,1.0,217.0,0.0,
775,17,7200000.0,67.0,2,2.75,4.0,27.2,4,,False,False,11.8,0.0,23897.0,4465.0,2.0,403.0,0.0,
776,9,5200000.0,60.2,3,2.65,9.0,,4,,False,False,6.5,1.0,14358.0,15134.0,0.0,,1.0,433.0
777,20,12000000.0,77.6,2,3.54,3.0,46.64,3,,False,False,11.4,,24487.0,4054.0,1.0,710.0,3.0,272.0
778,7,3040000.0,33.0,1,,12.0,18.0,9,False,False,False,6.2,0.0,44815.0,16312.0,0.0,,0.0,
779,14,2520000.0,22.7,1,,14.0,13.5,5,,False,False,,,22735.0,11907.0,1.0,1065.0,1.0,484.0
780,5,4250000.0,45.0,2,2.6,5.0,27.0,3,,False,False,7.0,,27928.0,11628.0,1.0,174.0,0.0,
781,10,7850000.0,66.5,2,,15.0,40.0,9,,False,False,10.4,,27573.0,9436.0,1.0,714.0,0.0,
782,14,8700000.0,65.0,2,2.8,24.0,38.0,8,False,False,False,12.0,2.0,42813.0,12689.0,1.0,343.0,0.0,
783,16,4300000.0,38.7,1,2.5,5.0,22.1,2,,False,False,8.0,,11058.0,10017.0,0.0,,0.0,
784,18,9799000.0,69.3,2,2.77,22.0,38.2,17,,False,False,13.2,1.0,10949.0,12890.0,0.0,,0.0,
785,8,7490000.0,83.0,3,2.55,10.0,48.0,8,,False,False,11.0,,23744.0,18283.0,1.0,35.0,1.0,773.0
786,14,7300000.0,70.2,2,2.77,16.0,38.0,12,False,False,False,11.0,2.0,36353.0,11936.0,2.0,440.0,2.0,450.0
787,16,3650000.0,31.3,1,2.5,9.0,15.8,7,,False,False,8.1,,45471.0,14274.0,1.0,19.0,0.0,
788,0,6700000.0,67.0,2,,18.0,,6,,False,False,,0.0,33623.0,14722.0,0.0,,1.0,506.0
789,7,4550000.0,29.8,1,2.85,4.0,21.4,1,,False,False,7.1,,22276.0,3996.0,1.0,627.0,0.0,
790,10,4000000.0,50.3,2,2.5,9.0,30.6,1,,False,False,10.0,0.0,16008.0,17010.0,0.0,,0.0,
791,2,8780000.0,104.0,5,3.4,4.0,67.0,2,,False,False,10.0,,25300.0,5718.0,2.0,381.0,0.0,
792,4,21000000.0,87.2,2,3.53,5.0,41.4,4,,False,False,30.0,,22814.0,2433.0,1.0,496.0,1.0,311.0
793,9,3950000.0,45.6,2,,9.0,28.2,8,,False,False,8.2,1.0,41432.0,11564.0,2.0,11.0,0.0,
794,13,3500000.0,31.1,1,3.0,5.0,12.1,2,,False,False,7.9,,27286.0,9174.0,0.0,,2.0,483.0
795,12,3200000.0,33.0,1,2.6,12.0,18.0,8,,False,False,8.0,,32529.0,13834.0,0.0,,0.0,
796,11,3700000.0,39.0,1,2.65,12.0,20.0,8,,False,False,8.0,,35449.0,15751.0,1.0,811.0,3.0,559.0
797,5,3300000.0,27.0,0,2.8,17.0,20.0,16,,True,False,,,12507.0,12419.0,0.0,,1.0,528.0
798,9,3550000.0,35.47,1,2.6,23.0,15.0,8,,False,False,8.71,1.0,43820.0,10987.0,0.0,,0.0,
799,15,4000000.0,50.8,2,2.5,5.0,30.3,5,,False,False,6.7,,10277.0,14642.0,0.0,,2.0,403.0
800,11,3000000.0,28.0,1,2.5,5.0,16.0,4,,False,False,6.0,1.0,31911.0,8990.0,3.0,374.0,1.0,671.0
801,0,6100000.0,60.0,2,2.64,9.0,33.3,5,,False,False,11.0,1.0,39368.0,14652.0,0.0,,0.0,
802,10,8200000.0,81.0,3,,18.0,42.0,14,,False,False,14.0,2.0,32036.0,8175.0,0.0,,1.0,644.0
803,9,12990000.0,168.2,5,3.2,5.0,110.8,2,,False,False,15.1,,25997.0,4699.0,1.0,816.0,1.0,1251.0
804,1,10000000.0,100.6,4,,6.0,60.0,3,,False,False,27.0,0.0,28335.0,6638.0,1.0,377.0,1.0,1009.0
805,10,4500000.0,43.0,1,2.6,24.0,18.7,22,,False,False,11.0,0.0,36784.0,11718.0,1.0,683.0,2.0,713.0
806,10,4890000.0,60.5,2,2.75,17.0,32.2,1,,False,False,12.7,,16046.0,14843.0,1.0,934.0,0.0,
807,6,4650000.0,43.1,2,2.5,9.0,25.0,3,,False,False,8.0,1.0,13318.0,13230.0,0.0,,0.0,
808,13,6500000.0,71.8,4,2.5,9.0,47.9,2,False,False,False,6.2,1.0,52072.0,17061.0,1.0,1133.0,3.0,239.0
809,8,4100000.0,38.3,1,,25.0,19.4,1,,False,False,10.5,0.0,10700.0,14612.0,0.0,,1.0,966.0
810,7,3355000.0,37.77,1,2.6,12.0,14.56,5,,False,False,9.95,1.0,47057.0,25619.0,1.0,159.0,1.0,1250.0
811,15,6650000.0,64.9,3,2.65,12.0,41.9,11,,False,False,10.4,,14767.0,10573.0,0.0,,1.0,399.0
812,5,17860000.0,55.0,2,,7.0,,5,False,False,False,,0.0,24416.0,4984.0,3.0,335.0,0.0,
813,0,5500000.0,56.0,2,3.0,5.0,34.0,5,False,False,False,8.0,0.0,39163.0,10866.0,0.0,,0.0,
814,10,3100000.0,31.3,1,2.5,5.0,17.8,1,,False,False,5.6,,14551.0,16920.0,0.0,,1.0,478.0
815,13,6590000.0,74.0,3,,5.0,,1,,False,False,7.0,,31738.0,5208.0,2.0,163.0,3.0,732.0
816,13,5550000.0,65.0,3,2.55,9.0,42.2,7,,False,False,10.0,,12609.0,15201.0,0.0,,1.0,616.0
817,16,10000000.0,83.1,2,2.8,16.0,45.3,7,,False,False,12.0,4.0,37244.0,12765.0,0.0,,0.0,
818,8,4000000.0,35.0,1,,24.0,18.0,17,,False,False,8.0,2.0,36784.0,11718.0,1.0,683.0,2.0,713.0
819,18,4500000.0,39.4,1,2.83,18.0,18.9,12,,False,False,10.7,1.0,18344.0,17346.0,0.0,,2.0,341.0
820,7,3200000.0,41.7,1,2.56,12.0,19.9,12,,False,False,10.2,2.0,32785.0,13784.0,0.0,,0.0,
821,1,36001900.0,142.3,3,3.0,11.0,79.3,6,False,False,False,13.3,,28282.0,6941.0,2.0,365.0,3.0,215.0
822,16,9530000.0,90.0,3,3.15,5.0,64.0,3,,False,False,9.0,4.0,27566.0,6998.0,1.0,920.0,1.0,655.0
823,6,18700000.0,122.1,2,,5.0,38.3,3,,False,False,42.6,,36779.0,14931.0,0.0,,0.0,
824,8,21000000.0,116.6,3,3.2,7.0,82.0,2,,False,False,10.4,,26786.0,4993.0,1.0,624.0,1.0,712.0
825,3,9500000.0,68.0,3,3.0,5.0,54.0,4,,False,False,7.0,,23398.0,3965.0,1.0,478.0,0.0,
826,13,3999999.0,44.0,1,,6.0,28.0,1,,False,False,7.0,,24825.0,5393.0,0.0,,0.0,
827,13,9100000.0,63.9,2,2.75,23.0,30.4,9,,False,False,12.0,1.0,35847.0,15853.0,0.0,,0.0,
828,15,9390000.0,59.0,2,2.8,7.0,32.0,7,,False,False,10.5,2.0,30712.0,8005.0,0.0,,2.0,247.0
829,6,3380000.0,31.9,1,2.55,9.0,17.6,3,,False,False,6.2,,14852.0,16447.0,0.0,,1.0,237.0
830,6,9200000.0,100.0,4,3.0,5.0,71.5,5,,False,False,9.0,1.0,38809.0,8069.0,1.0,850.0,1.0,689.0
831,10,5400000.0,46.0,2,,5.0,28.0,1,,False,False,7.5,0.0,21341.0,2043.0,2.0,377.0,1.0,411.0
832,12,7000000.0,53.7,2,2.65,12.0,28.6,11,,False,False,15.7,2.0,26766.0,10939.0,1.0,524.0,1.0,913.0
833,20,3999000.0,40.0,1,2.7,18.0,16.3,18,,False,False,13.8,1.0,42222.0,21539.0,0.0,,1.0,487.0
834,19,8940000.0,82.0,3,2.57,9.0,49.3,4,,False,False,10.8,2.0,32752.0,13851.0,0.0,,1.0,651.0
835,8,4300000.0,35.1,1,,14.0,19.3,7,False,False,False,8.0,1.0,16257.0,15144.0,1.0,554.0,0.0,
836,15,7990000.0,86.0,3,,5.0,42.4,5,,False,False,25.2,,31337.0,3106.0,0.0,,0.0,
837,16,4700000.0,47.6,1,2.6,16.0,21.0,10,,False,False,12.0,1.0,36791.0,10450.0,1.0,155.0,0.0,
838,6,3600000.0,32.4,1,,17.0,16.7,13,False,False,False,9.4,1.0,20890.0,17172.0,0.0,,1.0,203.0
839,10,3150000.0,26.0,0,2.75,21.0,17.38,11,,True,False,,,48847.0,16685.0,0.0,,0.0,
840,12,11500000.0,76.3,2,3.0,25.0,47.7,5,,False,False,11.0,2.0,11405.0,13222.0,0.0,,1.0,623.0
841,6,10700000.0,68.6,2,3.0,8.0,35.0,8,False,False,False,15.0,2.0,31428.0,5109.0,1.0,650.0,0.0,
842,9,5200000.0,42.0,1,2.8,15.0,18.5,3,,False,False,13.8,1.0,33881.0,13749.0,0.0,,0.0,
843,20,5590000.0,46.0,2,2.6,10.0,28.4,9,,False,False,7.0,2.0,33928.0,12928.0,0.0,,0.0,
844,14,3490000.0,30.3,1,2.6,17.0,15.5,15,,False,False,8.4,,20890.0,17172.0,0.0,,1.0,203.0
845,10,4350000.0,56.0,3,,6.0,41.0,3,,False,False,5.0,,22697.0,11009.0,3.0,541.0,0.0,
846,7,10000000.0,98.0,3,2.7,16.0,51.1,11,,False,False,15.0,,35196.0,13266.0,1.0,898.0,1.0,865.0
847,5,3400000.0,31.0,1,2.6,5.0,18.0,2,,False,False,6.0,,39712.0,11415.0,0.0,,0.0,
848,18,5500000.0,58.8,3,2.5,5.0,40.0,5,,False,False,6.0,2.0,40249.0,12753.0,0.0,,0.0,
849,12,3700000.0,33.0,1,2.5,9.0,19.0,6,,False,False,7.0,1.0,24162.0,11732.0,1.0,380.0,0.0,
850,11,4200000.0,40.0,1,2.7,17.0,20.0,11,,False,False,8.0,2.0,37123.0,12332.0,0.0,,0.0,
851,19,17600000.0,150.0,4,3.0,9.0,79.0,1,,False,False,25.0,2.0,41862.0,13565.0,0.0,,1.0,755.0
852,8,5148000.0,42.9,1,2.75,11.0,14.7,3,,False,False,14.7,,21927.0,6201.0,0.0,,2.0,466.0
853,0,17100000.0,63.3,2,3.1,4.0,38.6,4,,False,False,9.67,,22927.0,1454.0,1.0,715.0,3.0,33.0
854,14,120000000.0,280.0,5,4.7,4.0,162.0,3,,False,False,30.0,,24680.0,4247.0,1.0,464.0,3.0,339.0
855,1,3990000.0,43.6,1,,5.0,22.3,3,,False,False,12.0,,23196.0,4831.0,1.0,196.0,0.0,
856,10,7100000.0,60.0,2,2.6,10.0,34.9,8,,False,False,10.5,,51236.0,14282.0,0.0,,0.0,
857,16,6500000.0,60.0,2,,18.0,,16,,False,False,,,23012.0,6957.0,1.0,630.0,2.0,913.0
858,8,10700000.0,135.0,5,,6.0,79.2,6,,False,False,16.7,,26175.0,4750.0,0.0,,1.0,367.0
859,20,4600000.0,39.0,1,,26.0,16.0,21,,False,False,11.0,0.0,19971.0,21683.0,0.0,,1.0,546.0
860,20,26558000.0,152.38,5,2.75,17.0,,12,,False,False,14.61,5.0,39140.0,10364.0,2.0,173.0,3.0,196.0
861,3,8990000.0,113.0,4,,5.0,77.0,3,,False,False,11.0,,23664.0,4232.0,1.0,417.0,0.0,
862,8,8600000.0,82.0,3,,5.0,56.0,4,,False,False,9.0,0.0,25027.0,5595.0,0.0,,0.0,
863,16,4900000.0,39.3,1,2.8,15.0,17.4,5,,False,False,9.8,,43088.0,13239.0,1.0,604.0,0.0,
864,12,5200000.0,67.0,3,,9.0,43.5,3,,False,False,6.0,0.0,14107.0,15101.0,0.0,,1.0,295.0
865,17,3550000.0,31.4,1,,5.0,16.1,5,,False,False,5.5,,29645.0,5246.0,0.0,,1.0,447.0
866,3,5400000.0,81.7,3,,23.0,45.6,14,,False,False,15.4,,21793.0,17121.0,0.0,,1.0,31.0
867,20,5550000.0,47.3,2,3.2,8.0,32.6,7,,False,False,6.0,0.0,29034.0,7736.0,2.0,756.0,0.0,
868,3,8900000.0,105.0,4,3.5,5.0,,4,,False,False,,,26752.0,5458.0,3.0,445.0,0.0,
869,7,10300000.0,100.6,4,3.2,5.0,66.2,5,,False,False,10.5,,26583.0,5286.0,1.0,279.0,1.0,85.0
870,8,4530000.0,47.5,1,2.8,23.0,19.4,16,,False,False,12.9,0.0,22751.0,15365.0,0.0,,1.0,439.0
871,8,8100000.0,52.0,2,2.7,25.0,9.0,15,,False,False,32.0,2.0,35555.0,15561.0,0.0,,1.0,1180.0
872,18,6750000.0,71.0,3,,9.0,43.0,6,,False,False,8.5,,25195.0,14409.0,0.0,,0.0,
873,8,8045000.0,69.2,2,,10.0,43.7,2,,False,False,9.7,,23617.0,5223.0,0.0,,1.0,874.0
874,10,4700000.0,45.0,2,,9.0,28.0,6,,False,False,7.0,,20063.0,11594.0,0.0,,0.0,
875,9,5200000.0,34.4,1,2.6,25.0,17.2,8,False,False,False,8.5,2.0,43157.0,15661.0,0.0,,0.0,
876,13,3900000.0,31.3,1,2.5,5.0,18.4,3,,False,False,5.6,1.0,39511.0,8770.0,2.0,331.0,0.0,
877,14,6450000.0,82.0,2,,4.0,40.5,3,,False,False,22.4,0.0,21049.0,830.0,2.0,194.0,3.0,135.0
878,12,18500000.0,66.0,1,3.0,7.0,25.0,7,,False,False,35.0,1.0,,,,,,
879,12,4700000.0,68.0,3,,5.0,48.0,2,False,False,False,9.0,0.0,7316.0,17492.0,1.0,739.0,0.0,
880,4,7850000.0,60.0,2,3.38,7.0,33.6,3,,False,False,11.2,,26313.0,5016.0,3.0,417.0,1.0,118.0
881,5,6000000.0,53.2,3,3.3,4.0,35.7,2,,False,False,5.9,0.0,25835.0,4769.0,0.0,,1.0,531.0
882,9,6300000.0,70.0,3,2.7,14.0,42.0,6,,False,False,12.0,0.0,36223.0,16525.0,0.0,,2.0,555.0
883,5,9525760.0,86.8,3,2.7,10.0,46.9,9,False,False,False,10.7,,23609.0,5299.0,0.0,,1.0,433.0
884,20,17500000.0,131.8,3,2.6,12.0,81.6,7,,False,False,17.7,,29503.0,6040.0,1.0,137.0,1.0,802.0
885,1,5400000.0,55.0,3,,8.0,35.9,3,,False,False,8.1,,31864.0,8942.0,1.0,691.0,1.0,402.0
886,20,15500000.0,118.0,3,3.0,23.0,50.0,5,,False,False,18.0,4.0,40841.0,12544.0,2.0,51.0,0.0,
887,2,18500000.0,131.7,4,2.75,18.0,85.6,5,,False,False,16.7,4.0,37310.0,9782.0,1.0,497.0,0.0,
888,10,6900000.0,81.2,2,2.75,22.0,41.0,5,,False,False,16.4,5.0,36410.0,14528.0,0.0,,0.0,
889,14,8500000.0,66.2,3,3.01,4.0,37.4,4,,False,False,9.4,1.0,20993.0,835.0,0.0,,2.0,243.0
890,20,4390000.0,33.0,1,,10.0,17.0,9,,False,False,9.0,,18676.0,17678.0,0.0,,2.0,108.0
891,14,7300000.0,54.5,2,,16.0,38.0,12,,False,False,19.0,2.0,51030.0,14721.0,0.0,,0.0,
892,0,6900000.0,82.0,3,3.0,5.0,54.0,1,,False,False,9.0,,27556.0,9444.0,0.0,,2.0,729.0
893,1,9246000.0,80.4,2,2.74,25.0,40.3,1,,False,False,15.0,,20709.0,9037.0,0.0,,1.0,322.0
894,10,8700000.0,74.0,2,,5.0,43.0,4,,False,False,,0.0,44867.0,11504.0,0.0,,1.0,242.0
895,11,6500000.0,76.0,3,,5.0,,4,,False,False,,,24179.0,5127.0,1.0,581.0,0.0,
896,8,6200000.0,67.7,2,2.8,5.0,38.0,5,,False,False,8.5,,21092.0,3720.0,2.0,570.0,1.0,351.0
897,10,3550000.0,40.3,2,,12.0,25.3,3,False,False,False,6.5,0.0,16762.0,16669.0,0.0,,1.0,520.0
898,13,5950000.0,72.5,3,2.5,9.0,45.0,6,,False,False,8.6,,20832.0,5768.0,0.0,,3.0,163.0
899,16,3150000.0,31.0,1,,16.0,17.0,10,,False,False,7.0,1.0,21435.0,15261.0,1.0,334.0,1.0,232.0
900,3,3685000.0,33.0,1,2.5,15.0,17.8,2,,False,False,6.3,,49018.0,15004.0,1.0,650.0,0.0,
901,9,8000000.0,92.0,3,3.4,5.0,52.7,4,,False,False,11.5,,23486.0,3027.0,0.0,,0.0,
902,9,6200000.0,53.0,2,2.6,9.0,33.8,4,,False,False,8.4,,39187.0,10007.0,2.0,644.0,1.0,735.0
903,18,6150000.0,70.2,3,2.65,12.0,44.7,9,,False,False,8.0,,32586.0,11660.0,1.0,458.0,0.0,
904,19,10990000.0,86.0,3,3.0,5.0,50.0,1,,False,False,19.0,,39905.0,15189.0,0.0,,1.0,1268.0
905,20,5800000.0,59.0,3,2.5,10.0,39.78,5,,False,False,6.36,,49567.0,16454.0,1.0,496.0,0.0,
906,16,15990000.0,58.5,2,2.85,12.0,15.0,5,,False,False,27.0,2.0,28529.0,6832.0,1.0,592.0,0.0,
907,3,6000000.0,44.2,1,,25.0,17.4,23,False,False,True,,1.0,10663.0,12738.0,0.0,,0.0,
908,12,5700000.0,50.0,2,2.5,9.0,31.3,5,,False,False,7.9,,47632.0,15812.0,0.0,,0.0,
909,16,3650000.0,38.3,1,,12.0,20.0,8,,False,False,10.0,2.0,13943.0,15987.0,1.0,533.0,0.0,
910,20,18000000.0,98.4,3,3.0,5.0,62.6,3,,False,False,9.6,,33157.0,4551.0,1.0,240.0,0.0,
911,2,11609000.0,76.0,2,,8.0,32.0,6,,False,False,14.0,0.0,30919.0,4419.0,0.0,,1.0,762.0
912,20,59800000.0,399.0,5,5.6,6.0,,6,,False,False,,0.0,26204.0,6934.0,2.0,149.0,2.0,577.0
913,2,11634919.0,99.7,3,2.72,18.0,54.7,11,,False,False,17.1,,17763.0,7348.0,1.0,721.0,0.0,
914,2,7380000.0,67.6,2,,22.0,35.1,2,,False,False,,,17430.0,14898.0,2.0,378.0,0.0,
915,9,8000000.0,70.0,2,2.5,13.0,36.0,13,False,False,False,13.0,2.0,37347.0,9820.0,1.0,364.0,0.0,
916,12,6625000.0,80.4,2,2.75,16.0,35.4,12,,False,False,14.8,2.0,36897.0,10647.0,1.0,183.0,0.0,
917,7,4000000.0,47.8,2,,9.0,27.0,6,,False,False,10.2,,15105.0,13901.0,1.0,1756.0,2.0,584.0
918,9,5450000.0,36.2,1,2.75,24.0,15.0,17,False,False,False,10.0,2.0,11819.0,13265.0,0.0,,0.0,
919,20,4900000.0,58.0,3,2.5,9.0,39.0,5,,False,False,7.0,,33306.0,11616.0,0.0,,0.0,
920,0,12300000.0,114.0,3,2.7,16.0,58.0,14,,False,False,11.4,,9968.0,13344.0,0.0,,0.0,
921,20,7900000.0,52.5,2,,4.0,37.0,4,,False,False,10.0,,44870.0,20802.0,0.0,,1.0,792.0
922,10,9000000.0,110.0,3,2.7,16.0,53.0,2,,False,False,20.5,1.0,18863.0,16028.0,1.0,482.0,2.0,755.0
923,12,3290000.0,32.1,1,,9.0,17.7,8,,False,False,6.2,,36456.0,10813.0,0.0,,0.0,
924,9,5140000.0,44.0,1,2.8,16.0,17.3,14,,False,False,11.1,,12199.0,12111.0,0.0,,1.0,337.0
925,9,3250000.0,24.6,1,,25.0,18.0,16,,False,False,18.2,,35250.0,16414.0,0.0,,1.0,400.0
926,15,6700000.0,72.0,3,2.7,12.0,47.0,4,,False,False,8.3,1.0,27880.0,12138.0,1.0,638.0,1.0,593.0
927,3,5650000.0,60.6,2,2.65,16.0,37.3,15,,False,False,12.0,2.0,23274.0,12138.0,1.0,1103.0,1.0,1087.0
928,5,3150000.0,38.8,1,3.65,5.0,17.0,1,False,False,False,13.0,0.0,47325.0,25220.0,1.0,246.0,1.0,786.0
929,2,7100000.0,85.4,4,3.2,5.0,62.0,2,False,False,False,8.6,0.0,22800.0,9274.0,1.0,77.0,1.0,542.0
930,7,5100000.0,62.2,3,,9.0,41.0,2,,False,False,7.0,0.0,12588.0,15180.0,0.0,,0.0,
931,0,10800000.0,92.0,4,,5.0,55.0,1,,False,False,5.0,,22556.0,4047.0,0.0,,0.0,
932,4,4740000.0,56.0,3,,9.0,36.0,2,,False,False,8.0,0.0,23180.0,15794.0,0.0,,0.0,
933,0,6200000.0,41.8,1,,23.0,18.6,18,,False,False,7.7,,43269.0,13145.0,1.0,417.0,0.0,
934,5,7300000.0,78.7,2,,12.0,40.0,5,,False,False,12.0,0.0,42781.0,9148.0,0.0,,0.0,
935,17,3600000.0,31.7,1,,9.0,15.2,5,,False,False,8.0,0.0,47001.0,15146.0,0.0,,0.0,
936,0,6400000.0,64.0,2,3.2,7.0,44.0,1,,False,False,9.0,0.0,14616.0,7948.0,0.0,,0.0,
937,12,5300000.0,49.8,2,2.57,9.0,27.3,9,,False,False,11.0,,18794.0,10326.0,0.0,,1.0,716.0
938,13,4800000.0,42.9,1,,24.0,18.7,18,,False,False,13.7,,12188.0,14779.0,0.0,,1.0,246.0
939,15,5350000.0,52.0,2,,12.0,27.0,9,,False,False,11.0,1.0,37429.0,12562.0,0.0,,0.0,
940,10,4200000.0,45.3,2,2.55,5.0,30.4,1,,False,False,7.5,,15191.0,13732.0,0.0,,0.0,
941,1,13605800.0,106.3,1,3.1,10.0,,3,,False,False,,,25279.0,4073.0,0.0,,0.0,
942,19,7500000.0,82.0,3,3.1,5.0,50.0,3,False,False,False,11.0,0.0,31113.0,4092.0,1.0,76.0,3.0,362.0
943,14,18000000.0,166.0,4,2.8,17.0,106.0,3,,False,False,25.0,,12405.0,8376.0,1.0,1114.0,3.0,950.0
944,3,3530000.0,31.0,1,,9.0,18.0,4,False,False,False,6.0,0.0,30108.0,7480.0,0.0,,1.0,399.0
945,19,330000000.0,190.0,3,3.5,7.0,95.0,5,,False,False,40.0,,23011.0,1197.0,3.0,519.0,3.0,285.0
946,13,5020000.0,43.0,2,2.55,5.0,28.0,2,,False,False,5.5,,11664.0,9184.0,0.0,,0.0,
947,13,5000000.0,50.0,2,,10.0,31.0,5,,False,False,8.5,2.0,17667.0,18071.0,0.0,,1.0,601.0
948,19,8500000.0,76.7,3,2.6,14.0,,7,,False,False,,,45076.0,17799.0,0.0,,0.0,
949,4,3950000.0,36.8,1,2.75,25.0,15.7,24,,False,False,10.0,2.0,35129.0,16293.0,0.0,,1.0,475.0
950,14,2400000.0,44.0,2,,3.0,21.0,1,,False,False,8.0,,21004.0,24429.0,0.0,,1.0,81.0
951,3,4500000.0,61.4,3,2.58,5.0,43.6,1,,False,False,7.4,,17492.0,17697.0,0.0,,0.0,
952,18,6040000.0,59.4,3,2.8,6.0,36.3,3,,False,False,9.5,,19420.0,3943.0,0.0,,3.0,359.0
953,14,4150000.0,34.7,1,2.6,12.0,15.9,2,,False,False,10.1,,17017.0,15814.0,0.0,,2.0,243.0
954,13,4350000.0,35.5,1,2.55,17.0,18.6,17,,False,False,8.6,2.0,25912.0,10085.0,1.0,421.0,0.0,
955,8,2650000.0,34.5,1,,19.0,17.3,17,,False,False,8.5,,42681.0,21997.0,0.0,,1.0,682.0
956,0,3500000.0,44.0,2,2.5,5.0,31.0,4,False,False,False,6.5,1.0,45735.0,13986.0,1.0,401.0,0.0,
957,7,4740000.0,49.8,2,2.6,9.0,30.4,3,,False,False,9.2,,12407.0,14998.0,0.0,,1.0,1016.0
958,0,3800000.0,42.1,3,2.5,5.0,30.0,3,,False,False,5.3,,12530.0,11752.0,1.0,16.0,1.0,748.0
959,16,3700000.0,42.0,3,2.52,5.0,30.0,4,,False,False,5.4,,15343.0,14139.0,1.0,343.0,2.0,831.0
960,7,4350000.0,45.0,2,2.8,5.0,25.5,5,,False,False,7.5,,22774.0,2803.0,2.0,179.0,3.0,214.0
961,8,5500000.0,57.4,2,2.7,9.0,32.0,7,,False,False,10.0,1.0,13711.0,12507.0,0.0,,0.0,
962,17,13800000.0,103.0,3,2.8,9.0,56.0,7,,False,False,13.2,2.0,36276.0,10591.0,0.0,,0.0,
963,7,2880000.0,30.6,1,2.5,9.0,17.8,7,,False,False,6.2,,47930.0,16240.0,0.0,,0.0,
964,6,21500000.0,122.5,3,3.0,15.0,,8,,False,False,12.0,2.0,31744.0,4836.0,0.0,,3.0,153.0
965,11,3850000.0,39.1,1,2.7,19.0,17.3,14,,False,False,8.6,,33368.0,14467.0,0.0,,1.0,896.0
966,7,5750000.0,54.0,2,,12.0,31.0,11,False,False,False,10.4,1.0,16702.0,14647.0,1.0,569.0,0.0,
967,2,8500000.0,87.0,4,2.55,10.0,54.6,6,,False,False,11.5,,34491.0,14877.0,1.0,471.0,2.0,516.0
968,12,3500000.0,36.6,1,,12.0,21.6,12,False,False,False,6.9,,40153.0,11847.0,1.0,547.0,0.0,
969,9,8000000.0,62.0,2,,25.0,31.4,20,,False,False,14.0,2.0,45997.0,18721.0,0.0,,0.0,
970,6,7560000.0,69.28,2,2.75,25.0,29.52,19,,False,False,22.31,1.0,35129.0,16293.0,0.0,,1.0,475.0
971,8,7600000.0,52.0,2,,24.0,28.9,12,,False,False,7.9,,37781.0,14657.0,0.0,,0.0,
972,11,5200000.0,60.3,3,2.55,9.0,43.3,9,,False,False,6.0,,16790.0,16698.0,0.0,,1.0,148.0
973,4,6950000.0,66.7,3,2.65,9.0,42.5,5,,False,False,8.5,,50988.0,16316.0,0.0,,1.0,1337.0
974,9,3890000.0,44.8,2,,5.0,30.4,5,,False,False,7.0,0.0,14983.0,13523.0,0.0,,0.0,
975,6,6700000.0,54.0,1,2.85,12.0,20.0,5,False,False,False,18.0,1.0,49886.0,14976.0,1.0,349.0,0.0,
